rut,name,email,phone
13.345.678-9,Alice,alice@example.com,123456789
98.765.432-1,Bob,bob@example.com,987654321
11.111.111-1,Charlie,charlie@example.com,555123456
22.222.222-2,Diana,diana@example.com,555987654
33.333.333-3,Ernesto,ernesto@example.com,555246810
44.444.444-4,Fernanda,fernanda@example.com,555135791
55.555.555-5,Gabriel,gabriel@example.com,555192837
66.666.666-6,Helen,helen@example.com,555564738
77.777.777-7,Ivan,ivan@example.com,555918273
88.888.888-8,Julia,julia@example.com,555837465
